"Status","Name","Duration in ms","Description"
"passed","test.test_Mod_User#test_mod_user_by_id","627",""
"passed","test.test_Add_User#test_add_user[None:firstnameKtkth3:lastname]","2483",""
"passed","test.test_del_user_from_group#test_del_user_from_group","1633",""
"passed","test.test_Add_User#test_add_user[None:firstnamepahOlktXJ:lastnameTZ]","2423",""
"passed","test.test_add_user_to_group#test_add_user_to_group","882",""
"passed","test.test_Add_User#test_add_user[None:firstnamekzN91djx6:lastname6aR]","2448",""
"passed","test.test_Add_Group#test_add_group[None:names:headeryoQ:footerG4]","946",""
"passed","test.test_Add_Group#test_add_group[None:nameKUAFR:headerpuYoVT4Kr3U74p:footerzJr59SPIQsX1X]","923",""
"passed","test.test_Del_Group#test_del_some_group","408",""
"passed","test.test_db_matches_ui#test_contacts_list_compare_ui_and_db","796",""
"passed","test.test_Mod_Group#test_mod_group_by_id","1175",""
"passed","test.test_phones_and_emails#test_mail_on_homepage","1",""
"passed","test.test_Add_Group#test_add_group[None:nameT:headerXH0h9bra:footerSkNDDB83Q]","971",""
"passed","test.test_phones_and_emails#test_phones_on_homepage","963",""
"passed","test.test_db_matches_ui#test_group_list_compare_ui_and_db","545",""
"passed","test.test_Del_User#test_del_user_by_id","234",""
